INFO:     Started server process [6664]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
ERROR:    [Errno 10048] error while attempting to bind on address ('0.0.02026-06-23 14:39:05,869 [INFO] POST /auth/login -> 200 (0.556s) from 127.0.0.1
2026-06-23 14:41:22,542 [INFO] GET /hr/employees -> 200 (0.024s) from 127.0.0.1
2026-06-23 14:41:25,111 [INFO] GET /hr/workforce/reports -> 200 (0.019s) from 127.0.0.1
2026-06-23 14:41:25,130 [INFO] GET /hr/workforce/reports -> 200 (0.015s) from 127.0.0.1
2026-06-23 14:43:12,259 [INFO] GET /hr/workforce/succession -> 200 (0.014s) from 127.0.0.1
2026-06-23 14:43:12,265 [INFO] GET /hr/employees -> 200 (0.018s) from 127.0.0.1
2026-06-23 14:43:12,688 [INFO] GET /hr/workforce/succession -> 200 (0.426s) from 127.0.0.1
2026-06-23 14:43:12,693 [INFO] GET /hr/employees -> 200 (0.014s) from 127.0.0.1
2026-06-23 14:43:14,489 [INFO] GET /hr/departments -> 200 (0.012s) from 127.0.0.1
2026-06-23 14:43:14,494 [INFO] GET /hr/workforce/headcount -> 200 (0.018s) from 127.0.0.1
2026-06-23 14:43:14,521 [INFO] GET /hr/departments -> 200 (0.025s) from 127.0.0.1
2026-06-23 14:43:14,527 [INFO] GET /hr/workforce/headcount -> 200 (0.027s) from 127.0.0.1
2026-06-23 14:44:30,904 [INFO] GET /hr/workforce/succession -> 200 (0.015s) from 127.0.0.1
2026-06-23 14:44:30,907 [INFO] GET /hr/employees -> 200 (0.018s) from 127.0.0.1
2026-06-23 14:44:30,923 [INFO] GET /hr/workforce/succession -> 200 (0.015s) from 127.0.0.1
2026-06-23 14:44:31,318 [INFO] GET /hr/employees -> 200 (0.406s) from 127.0.0.1
2026-06-23 14:44:31,695 [INFO] GET /hr/workforce/reports -> 200 (0.012s) from 127.0.0.1
2026-06-23 14:44:31,711 [INFO] GET /hr/workforce/reports -> 200 (0.011s) from 127.0.0.1
2026-06-23 14:44:32,920 [INFO] GET /hr/workforce/succession -> 200 (0.034s) from 127.0.0.1
2026-06-23 14:44:32,929 [INFO] GET /hr/employees -> 200 (0.043s) from 127.0.0.1
2026-06-23 14:44:32,945 [INFO] GET /hr/workforce/succession -> 200 (0.020s) from 127.0.0.1
2026-06-23 14:44:32,954 [INFO] GET /hr/employees -> 200 (0.021s) from 127.0.0.1
2026-06-23 14:44:41,536 [INFO] GET /hr/workforce/reports -> 200 (0.013s) from 127.0.0.1
2026-06-23 14:44:41,553 [INFO] GET /hr/workforce/reports -> 200 (0.011s) from 127.0.0.1
